Country,Latte Price,Exchange Rate,PPP Exchange Rate (USD),Currency Valuation,dollar_price,Higher PPP
australia,6.88,1.57,1.36779324055666,Undervalued,1.54166666666667,Big Mac
canada,10.35,1.42,2.0576540755467194,Overvalued,1.93877551020408,Starbucks
chile,11684.62,947.95,2322.986083499006,Overvalued,2.45136186770428,Starbucks
colombia,27400.0,4133.79,5447.316103379721,Overvalued,2.34671441929649,Starbucks
hungary,2190.0,384.37,435.3876739562624,Overvalued,1.21505376344086,Starbucks
poland,10.9,3.98,2.1669980119284293,Undervalued,1.27906976744186,Starbucks
